student_id,student_first_name,student_last_name,student_email,student_major,student_status,student_gpa,student_enrollment_date,department_name,department_id,total_tuition_paid,total_tuition_due,outstanding_balance,total_payments_count,completed_payments_count,pending_payments_count,failed_payments_count,last_payment_date,last_payment_amount,last_payment_method,credit_card_payments_total,bank_transfer_total,check_payments_total,financial_aid_total,total_scholarships_received,scholarship_count,merit_scholarships_total,need_based_scholarships_total,athletic_scholarships_total,departmental_scholarships_total,largest_scholarship_amount,latest_scholarship_date,net_tuition_after_scholarships,scholarship_coverage_rate_pct,payment_success_rate_pct,avg_payment_amount,fall_2024_tuition,fall_2024_scholarships,spring_2024_tuition,spring_2024_scholarships,fall_2023_tuition,fall_2023_scholarships,has_outstanding_balance,is_scholarship_recipient,is_payment_plan_active,is_financial_aid_recipient
1,Elizabeth,Miller,carlos88@example.net,Engineering,On Leave,3.59,2023-09-16,Engineering,11,52235.78,54968.65,2732.87,15,15,0,0,2025-01-30,7137.06,Check,30248.25,13638.0,7157.07,10552.92,9744.55,2,6806.37,3050.15,768.0,1233.7,6281.5,2025-02-05,42491.229999999996,18.65,100.0,3482.39,13058.94,2436.14,13058.94,2436.14,13058.94,2436.14,True,True,False,True
2,Andrew,Marks,reidtina@example.com,Psychology,On Leave,2.88,2024-01-27,Psychology,8,47093.74,50103.63,3009.89,9,7,1,1,2025-06-17,8843.75,Credit Card,22379.77,18482.61,4808.24,11340.91,8740.62,3,3870.14,3844.18,746.11,1257.07,4949.25,2025-08-15,38353.119999999995,18.56,77.78,6727.68,11773.43,2185.16,11773.43,2185.16,11773.43,2185.16,True,True,True,True
3,Carlos,Allen,ingramjill@example.com,Mathematics,Graduated,3.89,2023-06-21,Mathematics,2,28302.26,28923.1,620.84,12,12,0,0,2025-06-28,1884.57,Bank Transfer,13681.9,7441.75,3285.1,3015.93,9697.84,0,6757.42,4801.11,1233.57,1567.72,9244.83,2025-03-15,18604.42,34.27,100.0,2358.52,7075.56,2424.46,7075.56,2424.46,7075.56,2424.46,True,True,False,True
4,Matthew,Day,epollard@example.net,English,Active,2.16,2023-06-14,English,6,27357.7,28616.350000000002,1258.65,10,9,0,1,2025-10-01,1194.64,Check,13963.41,6827.87,2300.01,6171.15,3000.64,2,1480.26,1353.04,516.93,464.6,2462.21,2025-01-16,24357.06,10.97,90.0,3039.74,6839.43,750.16,6839.43,750.16,6839.43,750.16,True,True,False,False
5,Jennifer,Acevedo,carterbradley@example.org,Economics,Active,3.21,2022-08-01,Economics,9,13583.72,17478.399999999998,3894.68,16,13,2,1,2025-07-27,2139.3,Check,4739.67,3167.62,1399.84,2166.75,9912.21,1,4805.3,4754.91,254.32,1394.49,7656.64,2025-06-27,3671.51,72.97,81.25,1044.9,3395.93,2478.05,3395.93,2478.05,3395.93,2478.05,True,True,True,True
6,Kyle,Sanders,wking@example.net,Physics,On Leave,3.17,2023-04-22,Physics,3,55669.21,56885.51,1216.3,13,10,2,1,2025-11-17,4851.92,Financial Aid,25260.8,21882.74,6938.53,6445.44,16141.81,2,6707.0,7969.6,3423.44,2684.28,13468.85,2025-02-28,39527.4,29.0,76.92,5566.92,13917.3,4035.45,13917.3,4035.45,13917.3,4035.45,True,True,True,True
7,Kimberly,Glenn,joshua56@example.com,Physics,Active,2.08,2023-06-21,Physics,3,44691.92,45576.97,885.05,3,3,0,0,2025-01-25,1310.52,Check,18584.98,12402.08,2419.8,7420.46,15606.9,0,9694.69,7367.97,1775.46,2985.57,15539.8,2025-12-25,29085.019999999997,34.92,100.0,14897.31,11172.98,3901.72,11172.98,3901.72,11172.98,3901.72,True,True,False,True
8,Paul,Beltran,xholt@example.net,History,Active,3.3,2025-08-15,History,7,13557.86,15049.890000000001,1492.03,3,1,1,1,2025-02-24,8051.12,Check,4209.42,4249.87,931.88,2730.38,17565.86,0,8876.56,5536.55,5102.48,4022.87,14920.92,2025-12-26,-4008.0,129.56,33.33,13557.86,3389.47,4391.47,3389.47,4391.47,3389.47,4391.47,True,True,True,True
9,Roger,Jordan,amymorris@example.org,Physics,Active,2.87,2022-05-16,Physics,3,23284.44,27560.219999999998,4275.78,4,3,1,0,2025-12-05,2493.7,Credit Card,8716.0,8254.17,3215.04,4603.59,9339.49,3,4746.5,1964.32,2032.93,1724.88,8347.37,2025-12-26,13944.949999999999,40.11,75.0,7761.48,5821.11,2334.87,5821.11,2334.87,5821.11,2334.87,True,True,True,True
10,Sean,Robbins,hannahbell@example.org,English,Active,2.7,2023-03-23,English,6,25863.93,28395.73,2531.8,3,1,2,0,2025-01-23,2702.41,Credit Card,8645.22,7301.93,3083.82,6082.08,1480.49,3,769.0,470.01,139.17,423.91,1189.55,2025-09-14,24383.44,5.72,33.33,25863.93,6465.98,370.12,6465.98,370.12,6465.98,370.12,True,True,True,False
11,Christina,Graham,jonesdana@example.com,Business,Active,3.72,2025-09-08,Computer Science,1,42416.78,42791.46,374.68,7,7,0,0,2025-02-05,3944.77,Credit Card,13757.61,13926.59,2247.56,9686.34,365.3,2,187.62,145.13,70.17,42.53,299.18,2025-04-14,42051.479999999996,0.86,100.0,6059.54,10604.19,91.33,10604.19,91.33,10604.19,91.33,True,True,False,False
